Última Atualização,Submercado,Carga_Verificada,Dia,Mês,Ano,Hora,Minuto
18/03/2021 13:23,N,5733.2,18,3,2021,13:23,
18/03/2021 13:23,NE,12006.2,18,3,2021,13:23,
18/03/2021 13:23,SE,45816.5,18,3,2021,13:23,
18/03/2021 13:23,S,14341.1,18,3,2021,13:23,
18/03/2021 13:33,N,5775.8,18,3,2021,13:33,
18/03/2021 13:33,NE,12075.2,18,3,2021,13:33,
18/03/2021 13:33,SE,45865.3,18,3,2021,13:33,
18/03/2021 13:33,S,14572.6,18,3,2021,13:33,
18/03/2021 14:24,N,5948.1,18,3,2021,14:24,
18/03/2021 14:24,NE,12425.4,18,3,2021,14:24,
18/03/2021 14:24,SE,46910.4,18,3,2021,14:24,
18/03/2021 14:24,S,14948.3,18,3,2021,14:24,
18/03/2021 14:49,N,5884.2,18,3,2021,14:49,
18/03/2021 14:49,NE,12501.9,18,3,2021,14:49,
18/03/2021 14:49,SE,47063.4,18,3,2021,14:49,
18/03/2021 14:49,S,15030.3,18,3,2021,14:49,
18/03/2021 14:50,N,5893.8,18,3,2021,14:50,
18/03/2021 14:50,NE,12498.8,18,3,2021,14:50,
18/03/2021 14:50,SE,47021.4,18,3,2021,14:50,
18/03/2021 14:50,S,15047.7,18,3,2021,14:50,
18/03/2021 15:09,N,5897.3,18,3,2021,15:09,
18/03/2021 15:09,NE,12473.1,18,3,2021,15:09,
18/03/2021 15:09,SE,47025.8,18,3,2021,15:09,
18/03/2021 15:09,S,15074.6,18,3,2021,15:09,
18/03/2021 15:30,N,5900.2,18,3,2021,15:30,
18/03/2021 15:30,NE,12514.6,18,3,2021,15:30,
18/03/2021 15:30,SE,47409.3,18,3,2021,15:30,
18/03/2021 15:30,S,15177.3,18,3,2021,15:30,
18/03/2021 15:32,N,5905.8,18,3,2021,15:32,
18/03/2021 15:32,NE,12503.1,18,3,2021,15:32,
18/03/2021 15:32,SE,47366.6,18,3,2021,15:32,
18/03/2021 15:32,S,15169.7,18,3,2021,15:32,
18/03/2021 16:16,N,5905.1,18,3,2021,16:16,
18/03/2021 16:16,NE,12292.5,18,3,2021,16:16,
18/03/2021 16:16,SE,47450.4,18,3,2021,16:16,
18/03/2021 16:16,S,15268.2,18,3,2021,16:16,
18/03/2021 17:09,N,5772.8,18,3,2021,17:09,
18/03/2021 17:09,NE,11552.8,18,3,2021,17:09,
18/03/2021 17:09,SE,45737.1,18,3,2021,17:09,
18/03/2021 17:09,S,15101,18,3,2021,17:09,
18/03/2021 17:16,N,5723.3,18,3,2021,17:16,
18/03/2021 17:16,NE,11507.4,18,3,2021,17:16,
18/03/2021 17:16,SE,45787.7,18,3,2021,17:16,
18/03/2021 17:16,S,15066.5,18,3,2021,17:16,
18/03/2021 17:32,N,"5667,7",18,3,2021,17:34,
18/03/2021 17:32,NE,"11438,8",18,3,2021,17:34,
18/03/2021 17:32,SE,"45461,3",18,3,2021,17:34,
18/03/2021 17:32,S,"14749,6",18,3,2021,17:34,
19/03/2021 10:43,N,"5692,5",19,3,2021,10:45,
19/03/2021 10:43,NE,"11532,1",19,3,2021,10:45,
19/03/2021 10:43,SE,"44967,2",19,3,2021,10:45,
19/03/2021 10:43,S,"14557,8",19,3,2021,10:45,
19/03/2021 10:58,N,"5638,7",19,3,2021,11:00,
19/03/2021 10:58,NE,"11447,4",19,3,2021,11:00,
19/03/2021 10:58,SE,"44838,9",19,3,2021,11:00,
19/03/2021 10:58,S,"14670,0",19,3,2021,11:00,
19/03/2021 11:13,N,"5583,4",19,3,2021,11:15,
19/03/2021 11:13,NE,"11392,2",19,3,2021,11:15,
19/03/2021 11:13,SE,"44754,8",19,3,2021,11:15,
19/03/2021 11:13,S,"14717,8",19,3,2021,11:15,
19/03/2021 11:28,N,"5445,2",19,3,2021,11:30,
19/03/2021 11:28,NE,"11456,9",19,3,2021,11:30,
19/03/2021 11:28,SE,"44979,2",19,3,2021,11:30,
19/03/2021 11:28,S,"14604,4",19,3,2021,11:30,
19/03/2021 11:43,N,"5564,3",19,3,2021,11:45,
19/03/2021 11:43,NE,"11417,9",19,3,2021,11:45,
19/03/2021 11:43,SE,"44856,3",19,3,2021,11:45,
19/03/2021 11:43,S,"14346,7",19,3,2021,11:45,
,N,{{norte_verificada}},19,3,2021,12:10,
,NE,{{nordeste_verificada}},19,3,2021,12:10,
,SE,{{sudeste_verificada}},19,3,2021,12:10,
,S,{{sul_verificada}},19,3,2021,12:10,
19/03/2021 12:13,N,"5550,4",19,3,2021,12:15,
